Stop,APC Boards,APC Alights,Difference
3946-(X) Hansha@GuthMed,11,2,450.00%
2338-EnfdMnRd@Bostwk,11,43,-74.42%
1120-Gunshop Hill,11,165,-93.33%
719-Haller @ Hook,11,131,-91.60%
4549-LowerCr@Pinck,11,9,22.22%
2563-Tbrg@Woolf,11,314,-96.50%
4732-38@BeamHill,10,2,400.00%
316-Hillview@Aurora,10,69,-85.51%
5754-Boicevil@Sltrvl,9,76,-88.16%
774-Campbell @ Hopk,9,3,200.00%
3120-EShore@Asbury,9,63,-85.71%
5737-Sltrvl@BsmrHill,9,28,-67.86%
3313-Trip@Asbury,9,5,80.00%
3613-Trip@TripTerr,9,12,-25.00%
3751-Warren@DutchMil,9,133,-93.23%
4714-WMain@Hltn,9,15,-40.00%
6353-DanbyRd@BaldHil,8,2,300.00%
572-Elmira@Buttrmlk,8,129,-93.80%
5720-PineTree@Sltrvl,8,291,-97.25%
3749-TomCtyJail,8,120,-93.33%
3305-Warren @ Asbury,8,65,-87.69%
725-WarrenPl@Snrise,8,50,-84.00%
5747-EllisHol@Sltrvl,7,15,-53.33%
3139-EShore@Auburn,7,42,-83.33%
3112-EShore@Burd Hil,7,0,100.00%
1145-Stewart Park,7,4,75.00%
2573-Tbrg@KrumsCor,7,58,-87.93%
10008-(X) Garage Park Bus,6,1,500.00%
6338-DanbyRd@Muzzy,6,13,-53.85%
920-Lincoln @ Dey,6,124,-95.16%
6368-SDanbyParkRide,6,47,-87.23%
5741-Sltrvl@Landon,6,19,-68.42%
5743-Sltrvl@SnydrHil,6,3,100.00%
3601-Tripr@Graham,6,44,-86.36%
5780-BdaleRd@Besem,5,232,-97.84%
2933-CayugaNatureCtr,5,27,-81.48%
6712-Elmira@FiveMile,5,88,-94.32%
4335-Groton@Peruvill,5,23,-78.26%
5738-Sltrvl@BsmrHill,5,4,25.00%
2578-Tbrg@PerryCity,5,0,100.00%
4713-WMain@Hltn,5,84,-94.05%
5331-ElsHol@ElHolCrk,4,75,-94.67%
3129-EShore@CayVista,4,5,-20.00%
3130-EShore@CayVista,4,0,100.00%
3931-Hanshw@SapsuWds,4,119,-96.64%
745-Hector@Fairvw,4,93,-95.70%
4539-Rt 366 @ Rt 13,4,9,-55.56%
5316-TrkyHi@ElsHollo,4,59,-93.22%
721-WarrenPl@Hook,4,22,-81.82%
3312-Asbury @ Tripha,3,45,-93.33%
3310-Asbury@Armstron,3,14,-78.57%
5794-Boiceville@Vall,3,1,200.00%
773-Campbl@Hopkins,3,19,-84.21%
6330-DanbyRd@Comfort,3,173,-98.27%
1772-EHOB,3,16,-81.25%
5321-ElsHol@GenungRd,3,80,-96.25%
3111-EShore@Burd Hil,3,67,-95.52%
10015-Garage Park Bus,3,4,-25.00%
3141-Ridge@Conlon,3,0,100.00%
5748-Sltrvl@EllisHol,3,3,0.00%
3605-Trip@Craft,3,84,-96.43%
4524-TrkyHil@MtPleas,3,0,100.00%
6354-DanbyRd@BaldHil,2,51,-96.08%
6344-DanbyRd@Miller,2,27,-92.59%
5341-EllsHoll@HuntHi,2,58,-96.55%
1138-EShor@JamesLGib,2,1,100.00%
3908-Hanshaw@Muriel,2,1,100.00%
3149-Ridge@Brickyar,2,1,100.00%
5707-Sltrvil@Honness,2,0,100.00%
5744-Sltrvl@SnydrHil,2,0,100.00%
1709-State@Cornell,2,0,100.00%
2559-Tbrg@Dubois,2,178,-98.88%
6720-Elmira @ Enfile,1,23,-95.65%
3119-EShore@Asbury,1,85,-98.82%
10011-Garage Park Bus,1,1,0.00%
4351-Groton High,1,19,-94.74%
3949-Hanshaw Village,1,0,100.00%
315-Hillview@Aurora,1,12,-91.67%
4733-Keith at Trail,1,14,-92.86%
3188-Ludlowville,1,0,100.00%
6775-Newfld-TwnHall,1,1,0.00%
4316-Railroad@Cook,1,0,100.00%
4537-Rt 366@Rt 13,1,7,-85.71%
1708-State@Giles,1,15,-93.33%
2972-TaughannockFall,1,0,100.00%
2581-Tbrg@Colegrove,1,84,-98.81%
2577-Tbrg@PerryCity,1,10,-90.00%
3610-Trip@Burdick,1,1,0.00%
4520-Varna Fire Sta,1,42,-97.62%
4519-Varna Fire Sta,1,2,-50.00%
4312-WmGeoregAcad,1,0,100.00%
3321-Auburn@Buck,0,0,0.00%
3322-Auburn@Buck,0,0,0.00%
3325-Auburn@ELansing,0,0,0.00%
3331-Auburn@NLanSch,0,7,-100.00%
3326-Auburn@Searles,0,0,0.00%
3332-Auburn@Storm,0,0,0.00%
3127-CayVista@EShore,0,0,0.00%
3733-Convenient Care,0,0,0.00%
6364-Danby@SteamMil,0,1,-100.00%
6742-Elmira@BurdgHil,0,2,-100.00%
5338-ElsHol@Eaglshed,0,0,0.00%
5337-ElsHol@Eaglshed,0,4,-100.00%
3317-FL Res Center,0,0,0.00%
3318-FL Res Center,0,0,0.00%
4780-Freeville@Enter,0,4,-100.00%
10009-Garage Park Bus,0,0,0.00%
805-IthChildGardn,0,1,-100.00%
4737-LakeRd@KmbrlyDr,0,0,0.00%
3187-Ludlowville,0,0,0.00%
4378-Main @ ParkNRid,0,1,-100.00%
4315-Railroad@Cook,0,1,-100.00%
3175-Ridge @ Ross,0,0,0.00%
3176-Ridge @ Ross,0,0,0.00%
3171-Ridge@Beckwith,0,1,-100.00%
3172-Ridge@Beckwith,0,0,0.00%
3150-Ridge@Brickyar,0,4,-100.00%
3142-Ridge@Conlon,0,2,-100.00%
3179-Ridge@Emmons,0,0,0.00%
3167-Ridge@Lakeview,0,1,-100.00%
3168-Ridge@Lakeview,0,0,0.00%
3180-Ridge@LnsgStat,0,0,0.00%
3157-Ridge@MyersPt,0,0,0.00%
4734-Rt 38 @ Keith,0,0,0.00%
5708-Sltrvil@Honness,0,4,-100.00%
5752-Sltrvl@Boicevil,0,9,-100.00%
5749-Sltrvl@EllisHol,0,0,0.00%
5742-Sltrvl@Landon,0,0,0.00%
4728-South@Ferguson,0,2,-100.00%
2971-TaughannockFall,0,4,-100.00%
3609-Trip@Horizon,0,2,-100.00%
5311-TrkyHi@ElsHolCr,0,0,0.00%
5312-TrkyHi@ElsHolCr,0,0,0.00%
4523-TrkyHil@MtPleas,0,8,-100.00%
5792-Valley@Boicevil,0,89,-100.00%
4311-WmGeoregAcad,0,3,-100.00%
,,,
  Total,2034610  ,1940300  ,0.0486058856877802  
,,,
